route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2-114,          0,2,"Franklin Av - Riverside Av - U of M - 8th St SE",,3,https://www.metrotransit.org/route/2,,000000
3-114,          0,3,"U of M - Como Av - Energy Park Dr - Maryland Av",,3,https://www.metrotransit.org/route/3,,000000
4-114,          0,4,"New Brighton - Johnson St - Bryant Av - Southtown",,3,https://www.metrotransit.org/route/4,,000000
5-114,          0,5,"Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA",,3,https://www.metrotransit.org/route/5,,000000
6-114,          0,6,"U of M - Hennepin - Xerxes - France - Southdale",,3,https://www.metrotransit.org/route/6,,000000
7-114,          0,7,"Plymouth - 27 Av - Minnehaha - 46 St Sta - 34 Av S",,3,https://www.metrotransit.org/route/7,,000000
9-114,          0,9,"Glenwood - Wayzata Blvd - Cedar Lk Rd - 46 St Sta",,3,https://www.metrotransit.org/route/9,,000000
10-114,          0,10,"Central Av - University Av - Northtown",,3,https://www.metrotransit.org/route/10,,000000
11-114,          0,11,"Columbia Heights - 2nd St NE - 4th Av S",,3,https://www.metrotransit.org/route/11,,000000
14-114,          0,14,"Robbinsdale - West Broadway - Bloomington Av",,3,https://www.metrotransit.org/route/14,,000000
16-114,          2,16,"University Av - Midway",,3,https://www.metrotransit.org/route/16,,000000
17-114,          0,17,"Minnetonka Blvd - Uptown - Washington St NE",,3,https://www.metrotransit.org/route/17,,000000
18-114,          0,18,"Nicollet Av -Grand Av - South Bloomington",,3,https://www.metrotransit.org/route/18,,000000
19-114,          0,19,"Olson Memorial Hwy - Penn Av N - Brooklyn Center",,3,https://www.metrotransit.org/route/19,,000000
21-114,          0,21,"Uptown - Lake St - Midway - Selby  Av",,3,https://www.metrotransit.org/route/21,,000000
22-114,          0,22,"Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA",,3,https://www.metrotransit.org/route/22,,000000
23-114,          0,23,"Uptown - 38th St - Highland Village",,3,https://www.metrotransit.org/route/23,,000000
25-114,          0,25,"Northtown - Silver Lake - Stinson - Lake of Isles",,3,https://www.metrotransit.org/route/25,,000000
27-114,          2,27,"Lake St Sta - 26th St - 28St",,3,https://www.metrotransit.org/route/27,,000000
30-114,          2,30,"Broadway Crosstown - Westgate Sta",,3,https://www.metrotransit.org/route/30,,000000
32-114,          0,32,"Robbinsdale - Lowry Av - Rosedale",,3,https://www.metrotransit.org/route/32,,000000
46-114,          0,46,"50St - 46St - 46St Sta - Highland Village",,3,https://www.metrotransit.org/route/46,,000000
54-114,          0,54,"Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall",,3,https://www.metrotransit.org/route/54,,000000
61-114,          0,61,"E Hennepin Av - Larpenteur Av - Arcade St",,3,https://www.metrotransit.org/route/61,,000000
62-114,          0,62,"Shoreview - Little Canada - Rice St - Signal Hills",,3,https://www.metrotransit.org/route/62,,000000
63-114,          0,63," Raymond Sta - Grand Av - Sunray - McKnight Rd",,3,https://www.metrotransit.org/route/63,,000000
64-114,          0,64,"Payne - Maryland - White Bear Av - Maplewood Mall",,3,https://www.metrotransit.org/route/64,,000000
65-114,          0,65,"Dale St - Co Rd B - Rosedale",,3,https://www.metrotransit.org/route/65,,000000
67-114,          0,67,"W Minnehaha Av - Raymond Sta - Franklin Av",,3,https://www.metrotransit.org/route/67,,000000
68-114,          0,68,"Jackson St - Robert St - W St Paul - Inver Hills",,3,https://www.metrotransit.org/route/68,,000000
70-114,          0,70,"St Clair Av - W 7th St - Burns Av - Sunray",,3,https://www.metrotransit.org/route/70,,000000
71-114,          0,71,"Little Canada - Westminster- Concord - Inver Hills",,3,https://www.metrotransit.org/route/71,,000000
74-114,          0,74,"46th St - Randolph - W 7th St - E 7th St - Sunray",,3,https://www.metrotransit.org/route/74,,000000
75-114,          0,75,"Stryker - Robert - Mendota Hts - Lake Cove Apts",,3,https://www.metrotransit.org/route/75,,000000
80-114,          2,80,"Maplewood - White Bear Av - Sunray",,3,https://www.metrotransit.org/route/80,,000000
83-114,          2,83,"HarMar Target - Lexington Av",,3,https://www.metrotransit.org/route/83,,000000
84-114,          2,84,"Snelling - Highland Village - Sibley Plaza",,3,https://www.metrotransit.org/route/84,,000000
87-114,          2,87,"Rosedale - U of M St Paul - Cleveland - Highland",,3,https://www.metrotransit.org/route/87,,000000
94-114,          0,94,"Express - Mpls - St Paul",,3,https://www.metrotransit.org/route/94,,000000
120-114,         11,120,"U of M - East Bank Circulator",,3,https://www.metrotransit.org/route/120,,000000
121-114,         11,121,"U of M - Campus Connector",,3,https://www.metrotransit.org/route/121,,000000
134-114,          0,134,"Ltd Stop - Highland - Cleveland - Cretin - Mpls",,3,https://www.metrotransit.org/route/134,,000000
141-114,          0,141,"Ltd Stop - New Brighton - Johnson St - Mpls",,3,https://www.metrotransit.org/route/141,,000000
219-114,          2,219,"Maplewood - Century Av - Hadley Av - Sunray",,3,https://www.metrotransit.org/route/219,,000000
225-114,          2,225,"Deluxe - Roseville - Coventry - Rosedale",,3,https://www.metrotransit.org/route/225,,000000
227-114,          2,227,"Target Shoreview - Victoria - Rosedale",,3,https://www.metrotransit.org/route/227,,000000
250-114,          0,250,"Express - St Josephs P&R - 95th Av P&R - Mpls",,3,https://www.metrotransit.org/route/250,,000000
264-114,          0,264,"Express - Roseville - Co Rd C P & R - Mpls",,3,https://www.metrotransit.org/route/264,,000000
270-114,          0,270,"Express - Mahtomedi - Maplewood - Minneapolis",,3,https://www.metrotransit.org/route/270,,000000
294-114,          0,294,"Express - Oakdale - Stillwater - St Paul",,3,https://www.metrotransit.org/route/294,,000000
