route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
18-114,MAR20-MVS-BUS-Saturday-02,16263348-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1181,180022,1
18-114,MAR20-MVS-BUS-Saturday-02,16263349-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1181,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263350-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1187,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263351-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1202,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263352-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1182,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263353-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1187,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263354-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1199,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263355-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1202,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263356-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1187,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263357-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1197,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263364-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1182,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263365-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1191,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263366-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1184,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263367-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1193,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263368-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1191,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263369-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1192,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263370-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1195,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263371-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1188,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263372-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1197,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263373-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1190,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263374-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1182,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263375-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1187,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263376-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1199,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263377-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1200,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263378-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1191,180015,1
18-114,MAR20-MVS-BUS-Saturday-02,16263379-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1202,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263380-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1188,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263381-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1199,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263382-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1146,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263383-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1203,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263384-MAR20-MVS-BUS-Saturday-02,"Southbound 18C  Nicollet-66",1,1201,180009,1
18-114,MAR20-MVS-BUS-Saturday-02,16263385-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1180,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263386-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1185,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263387-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1182,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263388-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1184,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263389-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1186,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263390-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1181,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263391-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1192,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263392-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1187,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263393-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1194,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263394-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1192,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263395-MAR20-MVS-BUS-Saturday-02,"Southbound 18A  Nicollet-46",1,1187,180001,1
18-114,MAR20-MVS-BUS-Saturday-02,16263396-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1194,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263397-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1182,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263398-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1196,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263399-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1184,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263400-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1191,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263401-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1193,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263402-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1188,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263403-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1198,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263404-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1190,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263405-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1180,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263406-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1187,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263407-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1194,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263408-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1192,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263409-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1204,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263410-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1201,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263411-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1197,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263412-MAR20-MVS-BUS-Saturday-02,"Southbound 18E  Nicollet Av / 104-Humboldt",1,1186,180006,1
18-114,MAR20-MVS-BUS-Saturday-02,16263413-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1183,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263414-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1190,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263415-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1180,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263416-MAR20-MVS-BUS-Saturday-02,"Southbound 18G Grand Av / To 46St - Nic",1,1146,180011,1
18-114,MAR20-MVS-BUS-Saturday-02,16263417-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1183,180012,1
18-114,MAR20-MVS-BUS-Saturday-02,16263418-MAR20-MVS-BUS-Saturday-02,"Southbound 18D Nicollet-78/American-2Av",1,1180,180012,1
